id,user_id,order_date,status,uploaded_at
1,1,2018-01-01,returned,2022-09-07T10:23:39.587
2,3,2018-01-02,completed,2022-09-07T10:23:39.587
3,94,2018-01-04,completed,2022-09-07T10:23:39.587
4,50,2018-01-05,completed,2022-09-07T10:23:39.587
5,64,2018-01-05,completed,2022-09-07T10:23:39.587
6,54,2018-01-07,completed,2022-09-07T10:23:39.587
7,88,2018-01-09,completed,2022-09-07T10:23:39.587
8,2,2018-01-11,returned,2022-09-07T10:23:39.587
9,53,2018-01-12,completed,2022-09-07T10:23:39.587
10,7,2018-01-14,completed,2022-09-07T10:23:39.587
11,99,2018-01-14,completed,2022-09-07T10:23:39.587
12,59,2018-01-15,completed,2022-09-07T10:23:39.587
13,84,2018-01-17,completed,2022-09-07T10:23:39.587
14,40,2018-01-17,returned,2022-09-07T10:23:39.587
15,25,2018-01-17,completed,2022-09-07T10:23:39.587
16,39,2018-01-18,completed,2022-09-07T10:23:39.587
17,71,2018-01-18,completed,2022-09-07T10:23:39.587
18,64,2018-01-20,returned,2022-09-07T10:23:39.587
19,54,2018-01-22,completed,2022-09-07T10:23:39.587
20,20,2018-01-23,completed,2022-09-07T10:23:39.587
21,71,2018-01-23,completed,2022-09-07T10:23:39.587
22,86,2018-01-24,completed,2022-09-07T10:23:39.587
23,22,2018-01-26,return_pending,2022-09-07T10:23:39.587
24,3,2018-01-27,completed,2022-09-07T10:23:39.587
25,51,2018-01-28,completed,2022-09-07T10:23:39.587
26,32,2018-01-28,completed,2022-09-07T10:23:39.587
27,94,2018-01-29,completed,2022-09-07T10:23:39.587
28,8,2018-01-29,completed,2022-09-07T10:23:39.587
29,57,2018-01-31,completed,2022-09-07T10:23:39.587
30,69,2018-02-02,completed,2022-09-07T10:23:39.587
31,16,2018-02-02,completed,2022-09-07T10:23:39.587
32,28,2018-02-04,completed,2022-09-07T10:23:39.587
33,42,2018-02-04,completed,2022-09-07T10:23:39.587
34,38,2018-02-06,completed,2022-09-07T10:23:39.587
35,80,2018-02-08,completed,2022-09-07T10:23:39.587
36,85,2018-02-10,completed,2022-09-07T10:23:39.587
37,1,2018-02-10,completed,2022-09-07T10:23:39.587
38,51,2018-02-10,completed,2022-09-07T10:23:39.587
39,26,2018-02-11,completed,2022-09-07T10:23:39.587
40,33,2018-02-13,completed,2022-09-07T10:23:39.587
41,99,2018-02-14,completed,2022-09-07T10:23:39.587
42,92,2018-02-16,completed,2022-09-07T10:23:39.587
43,31,2018-02-17,completed,2022-09-07T10:23:39.587
44,66,2018-02-17,completed,2022-09-07T10:23:39.587
45,22,2018-02-17,completed,2022-09-07T10:23:39.587
46,6,2018-02-19,completed,2022-09-07T10:23:39.587
47,50,2018-02-20,completed,2022-09-07T10:23:39.587
48,27,2018-02-21,completed,2022-09-07T10:23:39.587
49,35,2018-02-21,completed,2022-09-07T10:23:39.587
50,51,2018-02-23,completed,2022-09-07T10:23:39.587
51,71,2018-02-24,completed,2022-09-07T10:23:39.587
52,54,2018-02-25,return_pending,2022-09-07T10:23:39.587
53,34,2018-02-26,completed,2022-09-07T10:23:39.587
54,54,2018-02-26,completed,2022-09-07T10:23:39.587
55,18,2018-02-27,completed,2022-09-07T10:23:39.587
56,79,2018-02-28,completed,2022-09-07T10:23:39.587
57,93,2018-03-01,completed,2022-09-07T10:23:39.587
58,22,2018-03-01,completed,2022-09-07T10:23:39.587
59,30,2018-03-02,completed,2022-09-07T10:23:39.587
60,12,2018-03-03,completed,2022-09-07T10:23:39.587
61,63,2018-03-03,completed,2022-09-07T10:23:39.587
62,57,2018-03-05,completed,2022-09-07T10:23:39.587
63,70,2018-03-06,completed,2022-09-07T10:23:39.587
64,13,2018-03-07,completed,2022-09-07T10:23:39.587
65,26,2018-03-08,completed,2022-09-07T10:23:39.587
66,36,2018-03-10,completed,2022-09-07T10:23:39.587
67,79,2018-03-11,completed,2022-09-07T10:23:39.587
68,53,2018-03-11,completed,2022-09-07T10:23:39.587
69,3,2018-03-11,completed,2022-09-07T10:23:39.587
70,8,2018-03-12,completed,2022-09-07T10:23:39.587
71,42,2018-03-12,shipped,2022-09-07T10:23:39.587
72,30,2018-03-14,shipped,2022-09-07T10:23:39.587
73,19,2018-03-16,completed,2022-09-07T10:23:39.587
74,9,2018-03-17,shipped,2022-09-07T10:23:39.587
75,69,2018-03-18,completed,2022-09-07T10:23:39.587
76,25,2018-03-20,completed,2022-09-07T10:23:39.587
77,35,2018-03-21,shipped,2022-09-07T10:23:39.587
78,90,2018-03-23,shipped,2022-09-07T10:23:39.587
79,52,2018-03-23,shipped,2022-09-07T10:23:39.587
80,11,2018-03-23,shipped,2022-09-07T10:23:39.587
81,76,2018-03-23,shipped,2022-09-07T10:23:39.587
82,46,2018-03-24,shipped,2022-09-07T10:23:39.587
83,54,2018-03-24,shipped,2022-09-07T10:23:39.587
84,70,2018-03-26,placed,2022-09-07T10:23:39.587
85,47,2018-03-26,shipped,2022-09-07T10:23:39.587
86,68,2018-03-26,placed,2022-09-07T10:23:39.587
87,46,2018-03-27,placed,2022-09-07T10:23:39.587
88,91,2018-03-27,shipped,2022-09-07T10:23:39.587
89,21,2018-03-28,placed,2022-09-07T10:23:39.587
90,66,2018-03-30,shipped,2022-09-07T10:23:39.587
91,47,2018-03-31,placed,2022-09-07T10:23:39.587
92,84,2018-04-02,placed,2022-09-07T10:23:39.587
93,66,2018-04-03,placed,2022-09-07T10:23:39.587
94,63,2018-04-03,placed,2022-09-07T10:23:39.587
95,27,2018-04-04,placed,2022-09-07T10:23:39.587
96,90,2018-04-06,placed,2022-09-07T10:23:39.587
97,89,2018-04-07,placed,2022-09-07T10:23:39.587
98,41,2018-04-07,placed,2022-09-07T10:23:39.587
99,85,2018-04-09,placed,2022-09-07T10:23:39.587
